1,100,1.0725846
1,98,0.9723648
1,56,0.9521208
1,174,0.9429069
1,318,0.9384688
2,258,0.77362174
2,288,0.765226
2,50,0.7263007
2,313,0.71503985
2,294,0.59223306
3,313,0.85689586
3,286,0.83868146
3,300,0.79856735
3,288,0.78248143
3,258,0.7368988
4,313,0.8778314
4,288,0.83738303
4,286,0.82853496
4,294,0.7196762
4,50,0.5888927
5,127,0.7311748
5,100,0.7278142
5,1,0.67785144
5,222,0.67114407
5,258,0.6659405
6,318,0.9644917
6,483,0.9212105
6,197,0.88454205
6,180,0.87261146
6,100,0.8592572
7,174,1.2059714
7,172,1.1524401
7,191,1.1404321
7,168,1.1338367
7,89,1.0920004
8,50,0.711771
8,127,0.63196176
8,100,0.6142028
8,1,0.5996751
8,117,0.5179778
9,181,0.71997386
9,313,0.7040585
9,100,0.690875
9,127,0.684878
9,258,0.6823607
10,127,1.0305607
10,318,1.0285301
10,483,0.9775354
10,191,0.96909183
10,100,0.9614774
11,181,0.8565622
11,50,0.8354538
11,127,0.82576
11,100,0.8089322
11,174,0.807876
12,181,0.7221902
12,50,0.69477725
12,100,0.63959783
12,258,0.6232729
12,222,0.5556851
13,98,1.1458457
13,318,1.139283
13,191,1.0866141
13,56,1.0832069
13,100,1.0012821
14,127,0.9189048
14,100,0.886105
14,50,0.7892077
14,174,0.7303562
14,258,0.67881656
15,288,0.7681272
15,258,0.7648491
15,300,0.7608301
15,313,0.74547327
15,294,0.65554935
16,174,0.9415563
16,181,0.92290664
16,50,0.89239115
16,318,0.8511228
16,210,0.7827656
17,286,0.7741427
17,50,0.71949935
17,258,0.6951514
17,313,0.579137
17,300,0.5199878
18,318,1.1090701
18,483,1.0762544
18,191,1.045376
18,135,1.026389
18,180,1.0239594
19,313,0.7147436
19,258,0.6615606
19,127,0.64601314
19,100,0.63639873
19,50,0.6199685
20,300,0.74212193
20,50,0.70265037
20,258,0.6778424
20,100,0.6310612
20,237,0.58680564
21,100,0.8775791
21,181,0.86374485
21,50,0.8058427
21,258,0.7795795
21,313,0.7225483
22,172,0.7986081
22,204,0.7440635
22,222,0.71963227
22,100,0.7079639
22,318,0.69810444
23,127,0.9709684
23,98,0.8670092
23,50,0.8506238
23,318,0.84584093
23,191,0.7864206
24,181,0.77138144
24,100,0.7456867
24,50,0.72803926
24,174,0.65942955
24,258,0.61514354
25,127,0.8192299
25,174,0.8096621
25,50,0.7961088
25,100,0.7895437
25,318,0.77182436
26,286,0.82165056
26,258,0.75801563
26,100,0.7549315
26,127,0.7168227
26,294,0.63242614
27,100,0.70400506
27,127,0.6789673
27,258,0.6493504
27,50,0.64416766
27,313,0.62873393
28,181,0.75024074
28,50,0.70954734
28,258,0.6797031
28,127,0.66629386
28,100,0.645988
29,313,0.7033824
29,127,0.6622241
29,258,0.63102114
29,100,0.618303
29,50,0.5810636
30,300,0.7961192
30,288,0.7747975
30,294,0.681934
30,50,0.6232991
30,100,0.5665522
31,313,0.77327895
31,127,0.69839585
31,258,0.68615323
31,100,0.6478784
31,50,0.61742765
32,100,0.85670805
32,258,0.7615521
32,237,0.70211303
32,300,0.6464678
32,294,0.60849553
33,313,0.90178156
33,294,0.7964064
33,286,0.76684326
33,258,0.76072735
33,50,0.541738
34,286,0.8487893
34,313,0.8280781
34,300,0.78417706
34,288,0.75450337
